상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점,긍정리뷰비율,부정리뷰비율,품질언급비율,가성비언급비율,배송언급비율,저평점비율,최근 30일 리뷰비율,품질(긍정),품질(부정),구성/가성비(긍정),구성/가성비(부정),배송(긍정),배송(부정)
12275415751,KF365,30,가공육,[KF365] 생 등심 돈까스 1kg (냉장),10.0,14120,1000,1412,1033.0,4.86,0.87,0.13,0.96,0.57,0.49,0.03,0.06,맛있음,맛,가성비,가성비,배송,배송
12274693137,KF365,31,가공육,[KF365] 무항생제 한입 닭가슴살 1kg(냉동),30.0,8990,1000,899,2058.0,4.88,0.82,0.18,0.92,0.49,0.44,0.02,0.02,맛,맛,가성비,가성비,배송,배송
12274607896,KF365,33,정육,[KF365] 1+ 한우 정육 샤브샤브용 300g (냉동),25.0,13600,300,108800,383.0,4.68,0.75,0.25,0.94,0.46,0.45,0.05,0.16,맛,질김,가성비,가성비,배송,배송
12274548547,KF365,34,달걀,[KF365] 1+등급 무항생제 백색 특란 20구,5.0,7866,1200,2622,1253.0,4.83,0.75,0.25,0.93,0.5,0.68,0.07,0.03,신선함,깨짐,가성비,없음,배송,배송
12274510054,KF365,35,달걀,[KF365] 1+등급 무항생제 대란 10구,0.0,4100,520,788,1423.0,4.9,0.23,0.77,0.96,0.35,0.58,0.31,0.0,맛,깨짐,가성비,개별포장,배송,배송
12274690972,KF365,36,가공육,[KF365] 리얼 삼겹 베이컨 2종 (1입/3입),25.0,2900,120,58000,603.0,4.86,0.38,0.62,0.92,0.38,0.31,0.08,0.15,가성비,기름기없음,만족,기름짐,배송,배송
12274560111,KF365,37,가공육,[KF365] 한돈 앞다리 제육용 600g (냉장),10.0,10980,600,16470,600.0,4.81,0.86,0.14,0.95,0.47,0.43,0.04,0.1,맛있음,맛,가성비,가성비,배송,배송
12273090380,KF365,39,달걀,[KF365] 갈색 반숙란 20구,6.0,10990,1200,916,2431.0,4.82,0.67,0.33,0.95,0.42,0.49,0.11,0.05,맛있음,맛,가성비,가성비,배송,배송
12274618024,KF365,40,가공육,[KF365] 한돈 찜갈비 800g(냉장),15.0,13900,800,24325,658.0,4.76,0.77,0.23,0.96,0.48,0.42,0.04,0.18,맛있음,맛,가성비,가성비,배송,배송
12275414550,KF365,41,가공육,[KF365] 한돈 다짐육 600g (냉장),15.0,7390,600,17243,359.0,4.84,0.85,0.15,0.89,0.41,0.41,0.01,0.18,맛,맛,가성비,고기질,배송,배송
12274601580,KF365,42,달걀,[KF365] 1+등급 무항생제 초란 + 특란 30구,0.0,10490,30,34967,5183.0,4.87,0.72,0.28,0.94,0.45,0.58,0.09,0.1,신선함,맛,가성비,가성비,배송,배송
12274600895,KF365,43,달걀,[KF365] 1+등급 무항생제 대란 30구 (15구*2ea),0.0,10290,1560,660,1242.0,4.88,0.87,0.13,0.94,0.54,0.57,0.03,0.11,신선함,신선함,가성비,가성비,배송,배송
12338970190,KF365,44,정육,[KF365] 한돈 앞다리 용도별 균일가 3종 (택1),10.0,10980,600,16470,304.0,4.77,0.86,0.14,0.94,0.47,0.46,0.03,0.12,맛있음,맛,가성비,가성비,배송,배송
12274699784,KF365,45,가공육,[KF365] 에어프라이어용 통등심 롱카츠 450g,23.0,9590,450,46884,933.0,4.83,0.82,0.18,0.94,0.56,0.45,0.01,0.1,맛있음,맛,가성비,가성비,배송,배송
12274604523,KF365,46,가공육,[KF365] 오리주물럭 600g (200gX3개입),19.0,13689,600,41067,827.0,4.81,0.87,0.13,0.94,0.54,0.44,0.03,0.05,맛있음,맛,가성비,가성비,배송,배송
12275367261,KF365,47,가공육,[KF365] 무항생제 한돈 다짐육 300g*2 (냉장),17.0,7590,600,20240,908.0,4.87,0.4,0.6,0.85,0.55,0.85,0.25,0.15,가성비,포장꼼꼼,편의성,가격불만,배송,배송
12349167512,KF365,49,달걀,[KF365] 무항생제 특란 40구 (20구*2ea),10.0,11900,2400,496,4623.0,4.82,0.63,0.37,0.96,0.47,0.71,0.17,0.04,맛,파손,가성비,가격,배송,배송
12274703171,KF365,50,가공육,[KF365] 무항생제 한돈 삼겹살 수육용 2종 (냉장),26.0,16900,600,70417,491.0,4.7,0.78,0.22,0.96,0.47,0.44,0.04,0.07,맛있음,맛,가성비,가성비,배송,배송
12274616639,KF365,51,가공육,[KF365] 한돈 항정살 500g(냉장),14.0,29900,500,77740,238.0,4.83,0.91,0.09,0.98,0.51,0.45,0.02,0.17,맛있음,맛,가성비,가성비,배송,배송
12274643656,KF365,52,가공육,[KF365] 한돈 삼겹살 수육용 600g/1kg (냉장),20.0,15900,600,50350,535.0,4.76,0.82,0.18,0.98,0.49,0.43,0.07,0.11,맛있음,맛,가성비,가격,배송,배송
12274631028,KF365,53,가공육,[KF365] IQF 닭다리살 (냉동) 1kg,6.0,14871,1000,1487,900.0,4.86,0.83,0.17,0.92,0.48,0.47,0.02,0.03,맛있음,맛,가성비,가격,배송,배송
12275345161,KF365,54,가공육,[KF365] 1등급 닭 가슴살 2종 (냉장),5.0,7315,500,5852,466.0,4.85,0.9,0.1,0.94,0.56,0.5,0.01,0.09,맛,맛,가성비,가성비,배송,배송
12274513912,KF365,55,가공육,[KF365] 한돈 떡갈비 500g/1kg (냉동),13.0,13900,1000,1390,1380.0,4.86,0.86,0.14,0.94,0.52,0.39,0.02,0.01,맛있음,맛,가성비,가격,배송,배송
12274637764,KF365,56,가공육,[KF365] 한돈 생 대패 목살 500g (냉장),10.0,15900,500,28620,293.0,4.86,0.92,0.08,0.95,0.51,0.47,0.01,0.09,맛있음,맛,가성비,가성비,배송,배송
12274620467,KF365,61,가공육,[KF365] 한돈 등갈비 800g(냉장),20.0,23900,800,56762,426.0,4.85,0.83,0.17,0.95,0.48,0.41,0.02,0.21,맛있음,맛,가성비,가성비,배송,배송
12274565529,KF365,62,가공육,[KF365] 한돈 생 대패 삼겹 500g (냉장),10.0,15900,500,28620,167.0,4.72,0.87,0.13,0.98,0.58,0.55,0.03,0.13,맛,누린내,가성비,가성비,배송,배송
12275361669,KF365,63,가공육,[KF365] 닭 통다리 600g (냉장),0.0,9990,600,1665,265.0,4.92,0.89,0.11,0.95,0.45,0.46,0.0,0.07,맛있음,맛,가성비,없음,배송,없음
12275451279,KF365,64,정육,[KF365] 1+ 한우 사태 국거리용 300g(냉장),16.0,15120,300,75600,198.0,4.82,0.89,0.11,0.94,0.51,0.42,0.02,0.09,맛,맛,가성비,가성비,배송,배송
12274376447,KF365,65,가공육,[KF365] 한돈 뒷다리 제육용 600g (냉장),10.0,7790,600,11685,220.0,4.8,0.11,0.89,0.78,0.44,0.44,0.33,0.11,맛,고기무난,가성비,가성비,배송,배송
12346839309,KF365,66,가공육,[KF365] 한돈 (삼겹살/앞다리) 수육용 600g 2종,20.0,15900,600,50350,217.0,4.8,0.0,1.0,1.0,0.38,0.38,0.23,0.54,키워드 없음,비계많음,키워드 없음,가격,키워드 없음,배송
12813216659,KF365,67,가공육,[KF365] 한돈 꽃삼겹살 구이용 600g / 1kg (냉동),20.0,27900,600,88350,366.0,4.71,0.13,0.87,0.96,0.26,0.22,0.22,0.0,맛,맛,혼자먹기좋아요,가격,배송빠름,배송
12274612224,KF365,68,가공육,[KF365] 고기듬뿍 스모크햄 900g,35.0,8290,900,921,716.0,4.86,0.88,0.12,0.94,0.58,0.4,0.0,0.02,맛있음,맛,가성비,가성비,배송,배송
12274560317,KF365,69,가공육,[KF365] 한돈 뒷다리 찌개용 600g (냉장),10.0,7790,600,11685,312.0,4.87,0.88,0.12,0.94,0.54,0.51,0.02,0.23,맛있음,맛,가성비,가성비,배송,배송
12274558810,KF365,70,달걀,[KF365] 깐 메추리알 800g,0.0,9490,800,1186,417.0,4.87,0.91,0.09,0.93,0.48,0.48,0.0,0.09,맛,장조림,가성비,가성비,배송,배송
12727279399,KF365,71,가공육,[KF365] 도톰 한돈 동그랑땡 500g(냉동),20.0,7900,500,30020,777.0,4.86,0.89,0.11,0.95,0.57,0.47,0.01,0.13,맛있음,맛,가성비,가성비,배송,배송
12274500201,KF365,72,정육,[KF365] 1+ 한우 양지 국거리용 300g(냉장),20.0,21520,300,136293,130.0,4.83,0.91,0.09,0.97,0.47,0.4,0.0,0.12,맛있음,맛,가성비,가성비,배송,배송
12273039560,KF365,73,가공육,[KF365] 춘천식 닭갈비 (냉동) 1.2kg (300g*4ea),15.0,16900,1200,1408,398.0,4.86,0.93,0.07,0.98,0.55,0.42,0.0,0.08,맛있음,맛,가성비,맛,배송,배송
12274643385,KF365,74,가공육,[KF365] 한돈 앞다리 수육용 600g~(냉장),10.0,10980,600,16470,380.0,4.83,0.89,0.11,0.94,0.48,0.4,0.0,0.06,맛있음,냄새,가성비,가성비,배송,배송
12274601305,KF365,75,가공육,[KF365] IQF 닭가슴살 (냉동) 2kg,0.0,19900,2000,995,516.0,4.92,0.91,0.09,0.93,0.68,0.54,0.0,0.11,맛,맛,가성비,가성비,배송,배송
12274700469,KF365,76,가공육,[KF365] 무항생제 한돈 등심 카레용 200g*2 (냉장),20.0,7890,400,37478,133.0,4.79,0.87,0.13,0.95,0.52,0.48,0.02,0.22,맛,포장불량,가성비,가성비,배송,배송
12274701370,KF365,78,가공육,[KF365] 무항생제 한돈 등심 잡채용 200g*2 (냉장),15.0,6950,400,24325,381.0,4.88,0.0,1.0,1.0,0.29,1.0,0.0,0.0,키워드 없음,냄새,키워드 없음,맛있음,키워드 없음,배송
12274612764,KF365,79,가공육,[KF365] 1+ 한우 차돌박이 300g (냉동),11.0,26570,300,88567,270.0,4.68,0.0,1.0,0.83,0.33,0.5,0.44,0.17,키워드 없음,품질,키워드 없음,기름짐,키워드 없음,배송
12274701645,KF365,80,가공육,[KF365] 에어프라이어용 통 닭안심살 치킨까스 500g,29.0,7910,500,44296,448.0,4.91,0.5,0.5,0.83,0.67,0.5,0.17,0.17,맛,가성비,가성비,튀김옷두꺼움,배송,키워드 없음
12373922265,KF365,81,정육,[KF365] 냉장고 필수 한돈 삼겹/목살/냉삼 4종 (택1),25.0,14900,600,59600,470.0,4.79,0.87,0.13,0.94,0.46,0.44,0.03,0.26,맛있음,맛,가성비,가성비,배송,배송
12274622346,KF365,82,가공육,[KF365] 무항생제 오리 슬라이스 700g (2입) (냉장),0.0,14590,700,2084,385.0,4.72,0.86,0.14,0.95,0.56,0.51,0.05,0.14,맛있음,맛,가성비,가성비,배송,배송
12274700607,KF365,83,가공육,[KF365] 무항생제 한돈 안심 장조림용 200g*2 (냉장),12.0,6990,400,19222,329.0,4.83,0.89,0.11,0.94,0.52,0.48,0.01,0.15,맛있음,맛,가성비,가성비,배송,배송
12274693320,KF365,84,달걀,[KF365] 1+등급 무항생제 초란 20구,0.0,7790,20,38950,314.0,4.74,0.85,0.15,0.95,0.51,0.5,0.02,0.09,신선함,크기,가성비,가성비,배송,배송
12298411572,KF365,85,정육,[KF365] 1+ 한우 등심 300g(냉장),25.0,38960,300,311680,0.0,0.0,0.92,0.08,1.0,0.52,0.4,0.0,0.08,맛있음,가성비,가성비,기름많음,배송,키워드 없음
12274580350,KF365,86,정육,[KF365] 1+ 한우 안심 스테이크 300g (냉장),21.0,49800,300,332000,148.0,4.73,0.83,0.17,0.97,0.52,0.47,0.02,0.2,맛있음,맛,가성비,가격,배송,배송
13020538786,KF365,88,가공육,[KF365] LA 갈비 500g (냉동),18.0,18400,500,62560,120.0,4.78,0.78,0.22,0.95,0.47,0.46,0.01,0.28,맛있음,맛,가성비,가성비,배송,배송
12274640149,KF365,89,가공육,[KF365] 한돈 통 항정살 (수육용) 500g (냉장),14.0,29900,500,77740,142.0,4.76,0.93,0.07,0.98,0.51,0.43,0.0,0.2,맛있음,맛,가성비,가격대비적당,배송,배송
12275341115,KF365,90,가공육,[KF365] 무항생제 닭다리살(정육) 슬라이스 구이 400g,20.0,6392,400,30362,375.0,4.86,0.92,0.08,0.93,0.49,0.42,0.0,0.08,맛있음,맛,가성비,구성,배송,구매
12274705025,KF365,91,가공육,[KF365] 에어프라이어용 통안심카츠 280g(70g*4ea),24.0,7500,280,61607,160.0,4.76,0.7353562005277043,0.254089709762533,0.9331662269129286,0.4824538258575198,0.4685224274406332,0.0758047493403694,0.116754617414248,,,,,,
12274580276,KF365,92,정육,[KF365] 1+ 한우 채끝 스테이크 300g (냉장),20.0,47400,300,300200,102.0,4.66,0.3,0.7,1.0,0.4,0.5,0.2,0.0,두께,질김,키워드 없음,가격,배송빠름,배송
12274606712,KF365,93,가공육,[KF365] 한돈 차돌 대패구이 1kg,22.0,24900,1000,2490,233.0,4.58,0.0,1.0,1.0,0.14,0.24,0.41,0.1,키워드 없음,냄새,키워드 없음,아쉬움,키워드 없음,배송
12299976199,KF365,94,정육,[KF365] 한돈 삼겹살+목살 반반팩 700g,15.0,19900,700,39800,266.0,4.76,0.84,0.16,0.94,0.61,0.54,0.03,0.17,맛,맛,가성비,가성비,배송,배송
12275388168,KF365,95,달걀,[KF365] 1등급 닭 윗날개(봉) 2종 (냉장),5.0,8645,500,6916,220.0,4.83,0.9,0.1,0.94,0.43,0.43,0.0,0.11,맛있음,맛,재구매,가성비,배송,배송
12274604072,KF365,96,가공육,[KF365] 한돈 가브리살 (수육/구이용) 500g,9.0,19900,500,31840,197.0,4.87,0.9,0.1,0.96,0.49,0.46,0.0,0.16,맛,냄새,가성비,가격,배송,배송
12338969415,KF365,97,가공육,[KF365] 미국산 돼지고기 삼겹살 구이용 1kg,24.0,16090,1000,1609,401.0,4.79,0.84,0.16,0.96,0.62,0.54,0.04,0.14,맛있음,맛,가성비,가성비,배송,배송
12275345199,KF365,98,정육,[KF365] 1등급 닭 안심살 2종  (냉장),5.0,7315,500,5852,255.0,4.84,0.92,0.08,0.95,0.47,0.48,0.01,0.16,맛,맛,가성비,가성비,배송,배송
12346835112,KF365,99,가공육,[KF365] 닭가슴살로 만든 닭갈비 600g (300g*2ea),10.0,8990,600,13485,170.0,4.8,0.83,0.17,0.93,0.51,0.47,0.0,0.14,맛있음,맛,가성비,1인용,배송,배송
12274528826,KF365,100,가공육,[KF365] 한돈 삼겹살 찌개용 500g,25.0,11800,500,56640,95.0,4.84,0.82,0.18,0.98,0.48,0.42,0.01,0.15,맛있음,김치찌개,가성비,가성비,배송,배송
12274590963,KF365,101,달걀,[KF365] 백색반숙란+갈색훈제란 20구 반반팩,0.0,11800,20,59000,165.0,4.81,0.89,0.11,0.94,0.61,0.57,0.01,0.13,맛,맛,가성비,가격높음,배송,배송
12274567813,KF365,102,가공육,[KF365] 돌돌말이 대패 목심 (1kg),6.0,13900,1000,1390,531.0,4.86,0.89,0.11,0.95,0.56,0.53,0.01,0.17,맛있음,맛,가성비,가성비,배송,배송
12275413168,KF365,103,가공육,[KF365] 1등급 닭 아랫날개(윙) 2종 (냉장),5.0,8645,500,6916,225.0,4.9,0.89,0.11,0.94,0.52,0.55,0.01,0.17,맛있음,맛,가성비,없음,배송,없음
12275358298,KF365,104,가공육,[KF365] 미국산 돼지고기 삼겹살 구이용 2종,20.0,7990,400,37952,526.0,4.79,0.77,0.23,0.96,0.57,0.49,0.06,0.14,맛있음,맛,가성비,가성비,배송,배송
12274616661,KF365,105,가공육,[KF365] 에어프라이어용 치즈 폭탄 돈까스 300g (체다치즈),24.0,7590,300,58190,173.0,4.87,0.88,0.12,0.96,0.48,0.34,0.0,0.16,맛있음,맛,가성비,가격,배송,배송
12275335177,KF365,106,가공육,[KF365] 무항생제 닭가슴살 슬라이스 구이 400g,0.0,6800,400,1700,36.0,4.78,0.7353562005277043,0.254089709762533,0.9331662269129286,0.4824538258575198,0.4685224274406332,0.0758047493403694,0.116754617414248,,,,,,
12274617729,KF365,107,가공육,[KF365] 한돈 고추장양념 돼지불고기 (냉동) 1.2kg (300g*4ea),20.0,14680,1200,1223,92.0,4.71,0.7353562005277043,0.254089709762533,0.9331662269129286,0.4824538258575198,0.4685224274406332,0.0758047493403694,0.116754617414248,,,,,,
12275455952,KF365,108,가공육,[KF365] 무항생제 한돈 삼겹살 구이용 2종 (냉장),27.0,26900,600,116567,230.0,4.81,0.7353562005277043,0.254089709762533,0.9331662269129286,0.4824538258575198,0.4685224274406332,0.0758047493403694,0.116754617414248,,,,,,
12346891015,KF365,110,정육,[KF365] 수입산 소고기 & 돼지고기 냉장  가성비 구이류 골라담기,28.0,8590,400,2148,258.0,4.79,0.86,0.14,0.95,0.52,0.51,0.03,0.24,맛,맛,가성비,가격,배송,배송
12275421769,KF365,111,가공육,[KF365] 생 안심 돈까스 480g (120g*4입)(냉장),10.0,10710,480,20081,55.0,4.67,0.76,0.24,0.96,0.55,0.47,0.04,0.14,맛있음,맛,가성비,가성비,배송,배송
12338969482,KF365,112,가공육,[KF365] 미국산 돼지고기 목살 구이용 1kg,25.0,15790,1000,1579,304.0,4.86,0.88,0.12,0.96,0.66,0.53,0.01,0.15,맛있음,맛,가성비,가격,배송,배송
12274701127,KF365,113,가공육,[KF365] 무항생제 한돈 목살 구이용 2종 (냉장),27.0,25900,600,112233,145.0,4.75,0.79,0.21,0.95,0.49,0.45,0.02,0.13,맛있음,맛,가성비,가성비,배송,개봉전
12275370578,KF365,114,가공육,[KF365] 미국산 돼지고기 목전지 수육용 1kg,25.0,11600,1000,1160,349.0,4.84,0.91,0.09,0.97,0.51,0.44,0.01,0.18,맛있음,맛,가성비,가격,배송,배송
12274612955,KF365,116,가공육,[KF365] 한돈 뒷다리 대패 불고기용 1kg (냉동),16.0,10900,1000,1090,278.0,4.87,0.88,0.12,0.94,0.61,0.56,0.0,0.12,맛,맛,가성비,가성비,배송,배송
12701616780,KF365,117,가공육,[KF365] 에어프라이어용 닭가슴살 미니 카츠 500g,39.0,6000,500,45600,131.0,4.88,0.87,0.13,0.92,0.53,0.47,0.02,0.16,맛있음,맛,가성비,가성비,배송,배송
12275434952,KF365,118,가공육,[KF365] 한돈 오겹살(미박) 구이용 600g(냉장),20.0,15900,600,50350,94.0,4.87,0.88,0.12,0.99,0.5,0.44,0.0,0.13,맛있음,맛,가성비,가성비,배송,배송
12274701833,KF365,119,가공육,[KF365] 무항생제 닭가슴살 카레용 400g,0.0,6800,400,1700,31.0,4.9,1.0,0.0,1.0,0.35,0.31,0.0,0.35,맛,키워드 없음,가성비,키워드 없음,배송빠름,키워드 없음
12275346075,KF365,120,가공육,[KF365] 생 등심 치즈돈까스 4입 400g (냉장),10.0,9900,400,22275,57.0,4.77,0.75,0.25,0.91,0.38,0.4,0.0,0.15,맛,맛,가성비,가성비,배송,배송
12274677282,KF365,121,가공육,[KF365] 닭가슴살 샤브샤브 돌돌말이 400g (냉동),0.0,6860,400,1715,92.0,4.84,0.73,0.27,0.93,0.51,0.49,0.01,0.2,맛,맛,가성비,가성비,배송,배송
12275355109,KF365,122,가공육,[KF365] 무항생제 한돈 인기 요리용 7종 (택1)(냉장),26.0,16900,600,2817,238.0,4.82,0.86,0.14,0.93,0.56,0.52,0.0,0.14,맛,맛,가성비,가성비,배송,배송
12275344743,KF365,124,가공육,[골라담기] KF365 인기 고기 반찬 11종 (택1),24.0,7590,300,2530,224.0,4.88,0.91,0.09,0.98,0.69,0.48,0.0,0.21,맛있음,맛,가성비,양적음,배송,배송
12274693839,KF365,125,가공육,[KF365] 한돈 칼집 삼겹살 600g (냉장),16.0,17900,600,44750,53.0,4.92,0.96,0.04,0.98,0.48,0.54,0.0,0.15,맛있음,기름많음,가성비,키워드 없음,배송,배송좋음
12274605051,KF365,126,가공육,[KF365] 한돈 생 갈비 600g(냉장),34.0,11590,600,63745,39.0,4.28,0.79,0.21,1.0,0.62,0.5,0.12,0.26,맛있음,고기상태불량,가성비,가성비별로,배송,배송
12274637781,KF365,127,가공육,[KF365] 1+ 한우 큐브 다짐육 300g(냉동),25.0,13640,300,109120,27.0,4.63,0.83,0.17,1.0,0.54,0.62,0.04,0.08,배송빠름,고기품질,가성비,가격불만,배송,냉동
12274631879,KF365,128,가공육,[KF365] IQF 윙봉 콤보 (냉동) 1kg,0.0,12600,1000,1260,125.0,4.86,0.9,0.1,0.96,0.57,0.55,0.0,0.1,맛,맛,가성비,가성비,배송,배송
12275361717,KF365,129,정육,"[골라담기] KF365 1+ 한우 등심/안심/채끝 3종, 택1",25.0,38960,300,311680,73.0,4.73,0.83,0.17,0.98,0.37,0.43,0.05,0.13,맛있음,맛,가성비,가성비,배송,배송
12274717060,KF365,130,가공육,[KF365] 무항생제 한돈 안심 스테이크용 200g*2 (냉장),15.0,7590,400,26565,58.0,4.95,0.89,0.11,1.0,0.58,0.55,0.0,0.11,맛,맛,가성비,가성비,배송,배송
12679313167,KF365,131,가공육,[KF365] 통다리살 훈제오리 스테이크 480g,15.0,14990,480,43721,38.0,4.61,0.72,0.28,0.86,0.44,0.33,0.0,0.14,맛있음,맛,가성비,가격비쌈,배송,키워드 없음
